"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Germany","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","417,472,127",""
"Italy","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","382,040,000",""
"United Kingdom","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","206,983,724",""
"Ireland","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Denmark","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","29,762,876",""
"Greece","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","2,914,575",""
"Portugal","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","7,509,361",""
"Spain","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","103,872,342",""
"Belgium","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Luxemburg","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","0",""
"Iceland","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","0",""
"Norway","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","39,084,232",""
"Sweden","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Finland","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","29,003,805",""
"Austria","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Malta","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","0",""
"Estonia","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Latvia","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL",":",""
"Lithuania","Jan.-Dec. 2008","31001155","Upholstered swivel seats with variable height adjustment, with backrest and fitted with castors or glides excluding medical, surgical, dental or veterinary seats - barbers' or similar chairs","PRODVAL","9,486,591",""
